Player,Class,Team,ConfLeague,G,TS%,eFG%,FT%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PPG,APG,RPG,SPG,BPG,,
Daishen Nix,G,G-League Ignite,G-League,15,48.10%,40.80%,71.40%,2.9,15.1,9.2,27.7,2.73,0.79,16.2,18.9,8.8,5.3,5.3,1,0.2,,
Isaiah Todd,G,G-League Ignite,G-League,15,53.00%,48.80%,82.40%,3.1,14.9,9.1,5.2,1.46,3.67,10.7,22.1,12.3,0.8,4.9,0.5,0.7,,
Jalen Green,G,G-League Ignite,G-League,15,61.30%,53.70%,82.90%,1.6,10,6,13.5,3.11,1,12.9,22.9,17.9,2.8,4.1,1.5,0.3,,
Jonathan Kuminga,G,G-League Ignite,G-League,13,49.70%,43.00%,62.50%,3.3,16.4,10,12.7,18.3,2.39,11.7,24.6,15.8,2.7,7.2,1,0.8,,
Josh Giddey,INT,Adelaide,NBL Australia,20,50%,46.80%,68.10%,4.2,20.3,12.5,34.6,2.2,1.7,21.2,20,11,7,7.1,1.3,0.5,,
Alperen Sengun,INT,Beşiktaş,Turkish Super League,26,70.20%,64.50%,81.20%,19.2,23,21.1,16.6,2.7,5.8,14.4,26.2,19.3,2.4,9.3,1.3,1.6,,
Usman Garuba,INT,Real Madrid,EuroLeague,33,57.00%,56.70%,51.90%,10.1,21.3,15.7,7.3,2.2,5,26.8,12.7,3,0.7,3.7,0.6,0.7,,
Roko Prkacin,INT,Cibona Zagreb,ABA Adriatic,22,57.60%,55.20%,65.40%,10.7,23.6,17,12,1.7,2.3,16.7,25.8,13.9,1.5,6.8,0.9,0.5,,
Ariel Hukporti,INT,Kedainiai Nevezis,LKL,14,44.60%,43.80%,47.10%,12.4,27.6,19.8,11.8,2,5.6,23,27.9,9.6,1.3,7.5,0.9,2.3,,
Mojave King,INT,Cairns,NBL Australia,20,45.10%,43.30%,61.10%,5.3,9.1,7.2,6.8,1.2,1.2,11.8,18.9,4.6,0.6,1.8,0.3,0.2,,
Cade Cunningham,FR,Oklahoma St.,Big 12,27,57.40%,51.50%,84.62%,2.3,16.3,9.6,20.4,2.5,2.3,18.7,29.1,20.1,3.5,6.2,1.6,0.8,,
Jalen Suggs,FR,Gonzaga,WCC,30,59.60%,56.00%,76.11%,2.7,18,11,23.7,3.5,1.1,19.6,24.8,14.4,4.5,5.3,1.9,0.3,,
Evan Mobley,FR,USC,Pac-12,33,62.40%,59.50%,69.43%,9.6,18.9,14.5,14.1,1.4,8.8,14.6,22.8,16.4,2.4,8.7,0.8,2.9,,
Jabari Walker,FR,Colorado,Pac-12,26,64.10%,61.30%,77.78%,11.6,25.7,18.8,7.7,2,3.7,15.4,26.1,7.6,0.5,4.3,0.5,0.5,,
Keegan Murray,FR,Iowa,Big Ten,31,58.60%,55.40%,75.47%,9.8,19.4,14.8,5.2,2.6,7.2,9.5,18.5,7.2,0.5,5.1,0.8,1.3,,
Moses Moody,FR,Arkansas,SEC,32,56.80%,50.30%,81.18%,6.3,11.8,9,8.2,1.6,2,9.9,22.3,16.8,1.6,5.8,1.0,0.7,,
Walker Kessler,FR,North Carolina,ACC,29,58.00%,58.30%,53.66%,18.4,21,19.6,7.3,3.3,10.7,12.8,22.5,4.4,0.3,3.2,0.5,0.9,,
Jaden Springer,FR,Tennessee,SEC,25,57.00%,51.10%,81.00%,4.6,10.9,7.8,24.1,2.7,2,17.9,26,12.5,2.9,3.5,1.2,0.4,,
Bennedict Mathurin,FR,Arizona,Pac-12,26,62.50%,57.20%,84.62%,5.8,16.3,11.1,9.2,1.6,0.3,11.8,19.6,10.8,1.2,4.8,0.7,0.1,,
Kerwin Walton,FR,North Carolina,ACC,29,62.40%,60.70%,84.00%,1.4,7.5,4.4,15.6,1.4,0.9,15.2,16.8,8.2,1.8,1.7,0.5,0.2,,
Hunter Dickinson,FR,Michigan,Big Ten,28,62.80%,59.80%,73.87%,10.9,21.3,16.6,7.3,0.7,5.3,16.9,27.3,14.1,0.9,7.4,0.3,1.4,,
