rank,player,year,school_team,height_in,birthday
1,Cade Cunningham,FR,Oklahoma State,79,9/25/2001
2,Evan Mobley,FR,USC,84,6/18/2001
3,Jalen Green,G,G League Select,77,2/9/2002
4,Jalen Suggs,FR,Gonzaga,76,6/3/2001
5,Franz Wagner,SO,Michigan,80,8/27/2001
6,Keon Johnson,FR,Tennessee,77,3/10/2002
7,Jaden Springer,FR,Tennessee,77,9/22/2002
8,Moses Moody,FR,Arkansas,78,5/31/2002
9,Jonathan Kuminga,G,G League Select,79,11/6/2002
10,Ziaire Williams,FR,Stanford,80,9/12/2001
11,Scottie Barnes,FR,Florida State,81,8/1/2001
12,James Bouknight,SO,UConn,77,9/18/2000
13,Jalen Johnson,FR,Duke,80,12/18/2001
14,Sharife Cooper,FR,Auburn,72,6/11/2001
15,Bennedict Mathurin,FR,Arizona,79,6/19/2002
16,Daishen Nix,G,G League Select,76,2/13/2002
17,Usman Garuba,INT,Real Madrid,80,3/9/2002
18,Kai Jones,SO,Texas,83,1/19/2001
19,B.J. Boston,FR,Kentucky,79,11/28/2001
20,Alperen Sengun,INT,Beskitas,82,7/25/2002
21,Corey Kispert,SR,Gonzaga,79,3/3/1999
22,Greg Brown,FR,Texas,80,9/1/2001
23,David Johnson,SO,Louisville,77,2/26/2001
24,Josh Giddey,INT,Adelaide,80,10/10/2002
25,Nah'Shon Hyland,SO,VCU,75,9/14/2000
26,Day'Ron Sharpe,FR,North Carolina,82,11/6/2001
27,Jared Butler,JR,Baylor,75,8/25/2000
28,Roko Prkacin,INT,Cibona Zagreb,79,11/26/2002
29,Josh Christopher,FR,Arizona State,77,12/8/2001
30,Miles McBride,SO,West Virginia,74,9/8/2000
31,Jeremiah Robinson-Earl,SO,Villanova,81,11/3/2000
32,Ayo Dosunmu,JR,Illinois,77,1/17/2000
33,Kessler Edwards,JR,Pepperdine,80,8/9/1999
34,Marcus Bagley,FR,Arizona State,79,10/23/2001
35,Cameron Thomas,FR,LSU,75,10/13/2001
36,Terrence Shannon,SO,Texas Tech,78,7/30/2000
37,Davion Mitchell,JR,Baylor,74,9/5/1998
38,Isaiah Jackson,FR,Kentucky,81,1/10/2002
39,Isaiah Todd,G,G League Select,82,10/17/2001
40,Scottie Lewis,SO,Florida,77,3/12/2000
41,Aaron Henry,JR,Michigan St.,78,8/30/1999
42,Isaiah Livers,SR,Michigan,79,7/28/1998
43,Julian Champagnie,SO,St. John's,80,6/29/2001
44,Kadary Richmond,FR,Syracuse,77,8/25/2001
45,Joel Ayayi,JR,Gonzaga,77,3/5/2000
46,Justin Champagnie,SO,Pittsburgh,78,6/29/2001
47,Chris Duarte,SR,Orgeon,78,6/14/1997
48,Herb Jones,SR,Alabama,80,10/6/1998
49,Santi Aldama,SO,Loyola,83,1/10/2001
50,Josh Primo,FR,Alabama,78,12/24/2002
51,Trey Murphy,JR,Virginia,81,6/18/2000
52,Jabari Walker,FR,Colorado,80,7/30/2002
53,Terrence Clarke,FR,Kentucky,78,9/6/2001
54,Caleb Love,FR,North Carolina,75,9/27/2001
55,Charles Bassey,JR,Western Kentucky,82,10/28/2000
56,Tre Mann,SO,Florida,77,2/3/2001
57,Romeo Weems,SO,DePaul,79,6/9/2001
58,John Petty,SR,Alabama,77,12/3/1998
59,David Duke,JR,Providence,77,10/13/1999
60,Sam Hauser,SR,Virginia,80,12/8/1997
61,Kevin McCuller,SO,Texas Tech,78,3/15/2001
62,Hunter Dickinson,FR,Michigan,85,11/25/2000
63,Matthew Hurt,SO,Duke,81,4/20/2000
64,Oscar Tshiebwe,SO,West Virginia,81,11/27/1999
65,J.T. Thor,FR,Auburn,80,8/26/2001
66,Darius Days,JR,LSU,78,10/20/1999
67,Derrick Alston,JR,Boise State,81,9/17/1997
68,Trayce Jackson-Davis,SO,Indiana,81,2/22/2000
69,Jason Preston,JR,Ohio,77,8/10/1999
70,Trendon Watford,SO,LSU,81,11/9/2000
71,Chris Smith,SR,UCLA,81,12/24/1999
72,Marcus Garrett,SR,Kansas,77,11/9/1998
73,DJ Carton,SO,Marquette,74,8/5/2000
74,Ochai Agbaji,JR,Kansas,77,4/20/2000
75,Spencer Jones,SO,Stanford,79,1/1/2000
76,Bryce Thompson,FR,Kansas,77,2/26/2002
77,Wendell Moore Jr,SO,Duke,78,9/18/2001
78,Oumar Ballo,INT,NBA Global,81,7/13/2002
79,Joe Wieskamp,JR,Iowa,78,8/23/1999
80,Keegan Murray,FR,Iowa,80,8/19/2000
81,Dre Davis,FR,Louisville,77,8/23/2001
82,Amar Sylla,INT,Filou,81,10/1/2001
83,Moussa Cisse,FR,Memphis,82,9/10/2002
84,Anton Watson,SO,Gonzaga,80,10/6/2000
85,Earl Timberlake,FR,Miami,78,11/4/2000
86,Jaemyn Brakefield,FR,Duke,80,12/19/2000
87,Boris Tisma,INT,Real Madrid,79,2/20/2002
88,Adam Miller,FR,Illinois,75,1/23/2002
89,Ariel Hukporti,INT,Ludwigsburg,83,4/12/2002
90,Juhann Begarin,INT,CFBB,76,8/7/2002
91,Walker Kessler,FR,North Carolina,84,7/26/2001
92,Taevion Kinsey,JR,Marshall,77,3/10/2000
93,Will Richardson,SO,Oregon,77,9/3/1999
94,Mojave King,INT,Taipens,77,6/11/2002
95,Sandro Mamukelashvili,SR,Seton Hall,83,5/23/1999
96,Jay Huff,SR,Virginia,85,8/25/1998
97,Ron Harper Jr.,JR,Rutgers,78,4/12/2000
98,Jaden Ivey,FR,Purdue,76,2/13/2002
99,Andrew Nembhard,JR,Gonzaga,77,1/16/2000
100,Mac McClung,JR,Texas Tech,74,1/6/2000
101,Kofi Cockburn,SO,Illinois,84,9/1/1999
102,Yves Pons,SR,Tennessee,78,5/7/1999
103,Luka Garza,SR,Iowa,83,12/27/1998
104,Jalen Crutcher,SR,Dayton,73,7/18/1999
105,Matt Coleman III,SR,Texas,74,1/22/1998
106,Carlos Alocen,INT,Real Madrid,75,12/30/2000
107,Mark Vital,SR,Baylor,77,11/7/1996
108,Andre Curbelo,FR,Illinois,72,11/13/2001
